Island,Dive_ID,Local_Date,Dive_Number,Segment,Segment_ID,StartTime,EndTime,BenthicTemperatureMean,BenthicTemperatureStdDev,BenthicDepthMean,BenthicDepthStdDev,ComputedLength,CentroidLat,CentroidLon,Mean_Total_Live_Coral,Mean_Pale,Mean_Bleached,Mean_Pale_Bleached_Sum,Data_Source
HAW,201511111,11/11/2015,1,1,20151111101,11/11/2015 8:52:00,11/11/2015 8:57:00,27.33522667,0.023369994,-9.105933333,0.790905301,219.43,20.14571594,-155.8972047,17.5,30,10,40,1
HAW,201511111,11/11/2015,1,2,20151111102,11/11/2015 8:57:00,11/11/2015 9:02:00,27.40044151,0.147291866,-7.91154717,0.818310237,200.52,20.14388877,-155.8967246,20,35,20,55,1
HAW,201511111,11/11/2015,1,3,20151111103,11/11/2015 9:02:00,11/11/2015 9:07:00,27.53196818,0.002212647,-8.488454545,0.890045695,149.92,20.1424257,-155.8969009,30,20,15,35,1
HAW,201511111,11/11/2015,1,4,20151111104,11/11/2015 9:07:00,11/11/2015 9:12:00,27.5289,0.002821879,-9.065,0.972615237,139.2,20.14135004,-155.8962418,27.5,35,10,45,1
HAW,201511111,11/11/2015,1,5,20151111105,11/11/2015 9:12:00,11/11/2015 9:17:00,27.52991,0.004963456,-8.1569,0.515046008,138.26,20.14018811,-155.8958805,20,40,12.5,52.5,1
HAW,201511111,11/11/2015,1,6,20151111106,11/11/2015 9:17:00,11/11/2015 9:22:00,27.50007619,0.019256512,-9.027904762,0.684574522,184.89,20.13915463,-155.8948285,10,32.5,15,47.5,1
HAW,201511111,11/11/2015,1,7,20151111107,11/11/2015 9:22:00,11/11/2015 9:27:00,27.39948824,0.064056114,-8.359294118,1.430713223,223.95,20.13773058,-155.8935941,17.5,32.5,4,36.5,1
HAW,201511111,11/11/2015,1,8,20151111108,11/11/2015 9:27:00,11/11/2015 9:32:00,27.50595294,0.016798148,-7.489411765,0.664584528,196.16,20.1359635,-155.8939648,30,37.5,4,41.5,1
HAW,201511111,11/11/2015,1,9,20151111109,11/11/2015 9:32:00,11/11/2015 9:37:00,27.50457222,0.016800556,-8.452388889,0.607415119,219.7,20.13426347,-155.893386,32.5,35,4,39,1
HAW,201511111,11/11/2015,1,10,20151111110,11/11/2015 9:37:00,11/11/2015 9:41:00,27.4803875,0.011339912,-8.0909375,0.88350067,206.45,20.1325657,-155.892466,35,32.5,10,42.5,1
HAW,201511133,11/13/2015,3,10,20151113310,11/13/2015 12:28:00,11/13/2015 12:33:00,27.78842,0.010340645,-7.98505,0.561002924,187.78,19.74853696,-156.0546375,32.5,25,37.5,62.5,1
HAW,201511133,11/13/2015,3,9,20151113309,11/13/2015 12:23:00,11/13/2015 12:28:00,27.81182131,0.008640376,-8.22142623,0.794145927,193.87,19.74957741,-156.0533308,35,40,12.5,52.5,1
HAW,201511133,11/13/2015,3,8,20151113308,11/13/2015 12:18:00,11/13/2015 12:23:00,27.77836066,0.017360312,-9.797672131,0.900947474,198.1,19.75039263,-156.0519513,25,32.5,37.5,70,1
HAW,201511133,11/13/2015,3,7,20151113307,11/13/2015 12:13:00,11/13/2015 12:18:00,27.81469508,0.008407772,-7.675442623,1.36508301,202.24,19.75188275,-156.0515137,37.5,35,22.5,57.5,1
